Date,Clicks,Impressions,CTR,Position
2026-03-27,1,29,3.45%,17
2026-03-28,0,20,0%,8.8
2026-03-29,0,22,0%,14.5
2026-03-30,1,33,3.03%,15.8
2026-03-31,0,33,0%,13.1
2026-04-01,0,45,0%,16
2026-04-02,3,47,6.38%,13.8
2026-04-03,1,29,3.45%,20
2026-04-04,0,24,0%,11.3
2026-04-05,0,32,0%,21.3
2026-04-06,2,81,2.47%,9.1
2026-04-07,2,79,2.53%,12.1
2026-04-08,0,34,0%,11.9
2026-04-09,1,49,2.04%,9.1
2026-04-10,4,67,5.97%,11.7
2026-04-11,0,39,0%,22.9
2026-04-12,0,43,0%,19.3
2026-04-13,2,134,1.49%,11.8
2026-04-14,4,69,5.8%,14.4
2026-04-15,1,60,1.67%,15.4
2026-04-16,2,58,3.45%,30.5
2026-04-17,1,93,1.08%,52.7
2026-04-18,2,37,5.41%,18.9
2026-04-19,0,38,0%,16
2026-04-20,0,64,0%,14.5
2026-04-21,0,71,0%,18.4
2026-04-22,1,55,1.82%,13.6
2026-04-23,0,78,0%,12.3
